28-12-2021 13:46:05 - INFO  com.capg.mobilegamesrest.MobileGamesRestApplication : No active profile set, falling back to default profiles: default
28-12-2021 13:46:06 - INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
28-12-2021 13:46:06 - INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
28-12-2021 13:46:06 - INFO  org.springframework.cloud.context.scope.GenericScope : BeanFactory id=e05666a1-923d-3920-a6c0-a941c5795b15
28-12-2021 13:46:07 - INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 9091 (http)
28-12-2021 13:46:07 - INFO  org.apache.catalina.core.StandardService : Starting service [Tomcat]
28-12-2021 13:46:07 - INFO  org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.55]
28-12-2021 13:46:07 - INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
28-12-2021 13:46:07 - INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1859 ms
28-12-2021 13:46:07 - INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
28-12-2021 13:46:07 - INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
28-12-2021 13:46:07 - INFO  org.hibernate.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [name: default]
28-12-2021 13:46:08 - INFO  org.hibernate.Version : HHH000412: Hibernate ORM core version 5.6.1.Final
28-12-2021 13:46:08 - INFO  org.hibernate.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
28-12-2021 13:46:08 - INFO  org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
28-12-2021 13:46:08 - INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
28-12-2021 13:46:08 - INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
